sex,age,yrsexp,salary,regions
1,64,39.0,45200.0,Pacific
1,50,30.0,25000.0,Mountain
1,26,8.0,24500.0,Central
1,39,15.0,46500.0,Pacific
1,47,29.0,39200.0,Pacific
1,30,12.0,20500.0,Pacific
1,55,32.0,33000.0,Pacific
1,33,15.0,36000.0,Central
1,25,7.0,30000.0,Eastern
1,41,23.0,22000.0,Pacific
1,27,9.0,20000.0,Mountain
1,48,29.0,39000.0,Eastern
1,36,11.0,28000.0,Eastern
1,46,27.0,35000.0,Central
1,30,11.0,40000.0,Pacific
1,34,15.0,30500.0,Mountain
1,27,9.0,38000.0,Eastern
1,26,7.0,42000.0,Central
1,32,13.0,23000.0,Central
1,55,37.0,48000.0,Eastern
1,46,25.0,26000.0,Central
1,25,4.0,11640.0,Central
1,39,21.0,40804.0,Mountain
1,34,16.0,26000.0,Pacific
1,33,11.0,43000.0,Mountain
1,52,33.0,13497.0,Central
1,31,8.0,43800.0,Mountain
1,40,22.0,20000.0,Central
1,43,25.0,28000.0,Central
1,30,10.0,19800.0,Eastern
1,28,9.0,10100.0,Central
1,49,28.0,19601.0,Central
1,31,13.0,21000.0,Central
1,36,17.0,20270.0,Pacific
1,32,12.0,30900.0,Central
1,31,13.0,11000.0,Mountain
1,36,17.0,40000.0,Central
1,49,23.0,32000.0,Eastern
1,47,28.0,21500.0,Central
1,39,12.0,40000.0,Eastern
1,43,25.0,32620.0,Mountain
1,25,6.0,26000.0,Central
1,31,13.0,29000.0,Central
1,37,19.0,31000.0,Central
1,31,11.0,18000.0,Mountain
1,55,37.0,29000.0,Eastern
1,30,12.0,22000.0,Central
1,29,11.0,19000.0,Eastern
1,41,20.0,12000.0,Central
1,37,19.0,15500.0,Mountain
1,56,33.0,42000.0,Central
1,60,38.0,23200.0,Eastern
1,50,25.0,38000.0,Mountain
1,48,22.0,31318.0,Central
1,50,30.0,27600.0,Central
1,33,10.0,48223.0,Eastern
1,36,18.0,26000.0,Central
1,46,25.0,46500.0,Mountain
1,32,14.0,14700.0,Central
1,39,20.0,28000.0,Eastern
1,59,32.0,29000.0,Central
1,37,18.0,41000.0,Pacific
1,35,16.0,42000.0,Central
1,26,7.0,35000.0,Central
1,38,19.0,40000.0,Mountain
1,59,41.0,19403.0,Central
1,52,34.0,44000.0,Central
1,51,33.0,16000.0,Pacific
1,47,23.0,29000.0,Mountain
1,31,12.0,49000.0,Pacific
1,30,9.0,47500.0,Central
1,61,43.0,39200.0,Mountain
1,53,31.0,23500.0,Eastern
1,58,39.0,32000.0,Pacific
1,45,19.0,48000.0,Central
1,36,16.0,39000.0,Central
1,29,9.0,35900.0,Central
1,36,12.0,38819.0,Central
1,56,34.0,28000.0,Central
1,40,21.0,23000.0,Pacific
1,48,30.0,25000.0,Pacific
1,29,11.0,43000.0,Mountain
1,36,17.0,25000.0,Pacific
1,33,12.0,16000.0,Central
1,32,12.0,25000.0,Mountain
1,27,9.0,24000.0,Eastern
1,42,17.0,20661.0,Pacific
1,40,22.0,28000.0,Central
1,33,11.0,48000.0,Central
1,45,27.0,24000.0,Central
1,37,14.0,10800.0,Mountain
1,52,34.0,31700.0,Pacific
1,50,31.0,29000.0,Mountain
1,31,9.0,48500.0,Central
1,26,7.0,40000.0,Mountain
1,42,18.0,32000.0,Central
1,37,18.0,30000.0,Central
1,39,15.0,38000.0,Central
1,63,44.0,14000.0,Central
1,34,11.0,26817.0,Mountain
1,64,8.0,30000.0,Mountain
1,28,8.0,45300.0,Mountain
1,32,13.0,29000.0,Central
1,30,12.0,32000.0,Mountain
1,47,28.0,20000.0,Central
1,41,22.0,45000.0,Central
1,51,28.0,26000.0,Central
1,57,39.0,24000.0,Central
1,41,22.0,47000.0,Mountain
1,31,12.0,25000.0,Eastern
1,42,23.0,26500.0,Central
1,36,14.0,40000.0,Central
1,46,28.0,15936.0,Mountain
1,27,9.0,18300.0,Eastern
1,60,42.0,26000.0,Mountain
1,37,14.0,49000.0,Central
1,57,34.0,20400.0,Mountain
1,62,37.0,48340.0,Central
1,31,7.0,45000.0,Central
1,28,8.0,41500.0,Eastern
1,40,22.0,21300.0,Pacific
1,38,20.0,33000.0,Central
1,44,23.0,39000.0,Mountain
1,44,26.0,18250.0,Mountain
1,51,32.0,47000.0,Eastern
1,45,26.0,45300.0,Pacific
1,59,41.0,22000.0,Pacific
1,37,19.0,13100.0,Central
1,26,6.0,33000.0,Central
1,25,7.0,25000.0,Central
1,54,25.0,22600.0,Mountain
1,29,11.0,18000.0,Central
1,26,7.0,33000.0,Central
1,36,17.0,27000.0,Central
1,44,19.0,38844.0,Central
1,34,8.0,14000.0,Mountain
1,26,8.0,33000.0,Pacific
1,57,35.0,24000.0,Mountain
1,48,21.0,23000.0,Mountain
1,45,24.0,34000.0,Central
1,37,18.0,17000.0,Central
1,39,20.0,24000.0,Mountain
1,48,27.0,29000.0,Mountain
1,28,6.0,24000.0,Mountain
1,53,34.0,42000.0,Pacific
1,37,19.0,18500.0,Central
1,39,9.0,45000.0,Mountain
1,32,11.0,25000.0,Central
1,42,23.0,17000.0,Central
1,38,19.0,15000.0,Eastern
1,38,17.0,44000.0,Central
1,34,16.0,16000.0,Central
1,32,10.0,23000.0,Eastern
1,31,12.0,49700.0,Pacific
1,33,10.0,36897.0,Central
1,51,24.0,22000.0,Mountain
1,34,14.0,15000.0,Central
1,43,24.0,34000.0,Central
1,56,38.0,27000.0,Central
1,27,9.0,30000.0,Pacific
1,40,16.0,31000.0,Central
1,27,9.0,26000.0,Mountain
1,47,28.0,40500.0,Central
1,26,8.0,11000.0,Central
1,45,23.0,43000.0,Mountain
1,43,24.0,29000.0,Central
1,36,12.0,36000.0,Mountain
1,47,27.0,45000.0,Central
1,59,34.0,45000.0,Central
1,32,11.0,48000.0,Mountain
1,27,9.0,14000.0,Central
1,33,13.0,25600.0,Central
1,35,12.0,40000.0,Central
1,62,37.0,32000.0,Eastern
1,25,7.0,20000.0,Central
1,26,7.0,14000.0,Mountain
1,35,17.0,15400.0,Central
1,25,6.0,48000.0,Mountain
1,32,14.0,35500.0,Central
1,27,9.0,49860.0,Mountain
1,35,16.0,40000.0,Mountain
1,32,8.0,48500.0,Pacific
1,29,10.0,26500.0,Central
1,40,17.0,29000.0,Pacific
1,38,20.0,21000.0,Central
1,28,6.0,44250.0,Mountain
1,56,32.0,20624.0,Eastern
1,47,21.0,38000.0,Pacific
1,58,39.0,30000.0,Eastern
1,55,37.0,26000.0,Central
1,26,8.0,24000.0,Central
1,59,41.0,35700.0,Pacific
1,34,13.0,47000.0,Central
1,52,25.0,40000.0,Mountain
1,26,6.0,27500.0,Mountain
1,31,9.0,37000.0,Mountain
1,40,19.0,40000.0,Mountain
1,38,14.0,26840.0,Mountain
1,25,6.0,43000.0,Eastern
1,49,31.0,14500.0,Central
1,48,30.0,19000.0,Mountain
1,42,19.0,11300.0,Mountain
1,38,14.0,45000.0,Pacific
1,42,24.0,17832.0,Mountain
1,62,40.0,11000.0,Central
1,33,13.0,41000.0,Eastern
1,29,11.0,29060.0,Mountain
